OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2026-04-06,4,0,2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,643.34,DAM,2
2026-04-06,5,0,2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,711.26,DAM,2
2026-04-06,6,0,2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,726.08,DAM,2
2026-04-06,7,0,2026-04-06T13:00:00-00:00,2026-04-06T14:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,695.78,DAM,2
2026-04-06,8,0,2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,657.63,DAM,2
2026-04-06,9,0,2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,630.23,DAM,2
2026-04-06,10,0,2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,601.86,DAM,2
2026-04-06,11,0,2026-04-06T17:00:00-00:00,2026-04-06T18:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,564.98,DAM,2
2026-04-06,12,0,2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,528.6,DAM,2
2026-04-06,13,0,2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,504.99,DAM,2
2026-04-06,14,0,2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,504.22,DAM,2
2026-04-06,15,0,2026-04-06T21:00:00-00:00,2026-04-06T22:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,543.8,DAM,2
2026-04-06,16,0,2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,614.57,DAM,2
2026-04-06,17,0,2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,703.68,DAM,2
2026-04-06,18,0,2026-04-07T00:00:00-00:00,2026-04-07T01:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,783.67,DAM,2
2026-04-06,19,0,2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,859.53,DAM,2
2026-04-06,20,0,2026-04-07T02:00:00-00:00,2026-04-07T03:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,949.38,DAM,2
2026-04-06,21,0,2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1016.88,DAM,2
2026-04-06,22,0,2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1051.53,DAM,2
2026-04-06,23,0,2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,1077.05,DAM,2
2026-04-06,2,0,2026-04-06T08:00:00-00:00,2026-04-06T09:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,428.79,DAM,2
2026-04-06,24,0,2026-04-07T06:00:00-00:00,2026-04-07T07:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,2,0,2026-04-06T08:00:00-00:00,2026-04-06T09:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,23,0,2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,6,0,2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2026-04-06,22,0,2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
